2024AL/BHN	4340Stl/BHN	2024AL/HRB	4340Stl/HRB	2024AL/HRC	4340Stl/HRC
   0.0	 601.0	  79.8	 123.2	  -2.7	  64.5
 136.0	   0.0	  78.9	 123.4	  -1.8	  65.0
 131.0	   0.0	  79.9	 123.4	  -0.4	  63.7
 131.0	   0.0	  80.3	 122.0	  -3.2	  63.2
   0.0	 653.0	  79.3	 124.0	  -0.2	  63.5
 137.0	   0.0	  79.3	 122.6	  -3.1	  65.0
   0.0	 653.0	  79.1	 123.5	  -1.6	  63.2
   0.0	 682.0	  81.7	 123.8	  -0.8	  65.3
   0.0	 712.0	  81.0	 122.2	  -0.3	  64.4
 131.0	   0.0	  80.9	 123.1	  -1.7	  65.1
   0.0	 712.0	  79.6	 122.4	  -2.7	  65.6
   0.0	 682.0	  78.2	 122.6	  -3.3	  64.1
 137.0	   0.0	  79.7	 122.8	  -2.0	  65.7
