7075-T6_AL/BHN	4340Stl/BHN	7075-T6_AL/HRB	4340Stl/HRB	7075-T6_AL/HRC	4340Stl/HRC
   0.0	 740.0	  94.9	 121.8	  13.9	  62.7
   0.0	 732.0	  94.5	 123.6	  13.8	  61.3
   0.0	 726.0	  94.7	 121.8	  13.9	  62.5
 191.0	   0.0	  94.1	 122.3	  14.4	  62.5
 189.0	   0.0	  94.6	 122.5	  14.5	  56.1
   0.0	 766.0	  95.9	 124.0	  14.5	  59.7
 189.0	   0.0	  95.3	 122.4	  16.1	  59.8
   0.0	 734.0	  96.9	 122.3	  15.6	  62.4
 188.0	   0.0	  95.5	 122.6	  15.6	  62.1
 191.0	   0.0	  96.7	 122.3	  15.1	  60.1
 187.0	   0.0	  95.6	 122.0	  12.1	  61.6
   0.0	 736.0	  97.7	 123.1	  15.6	  59.9
