System ID,,"4483C11302J"
Method name only,,"Tension_Round_Heat_Treat_NEW"
Test type,,"Tension"
Sample file name,,"M01B4340NM"
Last test date,,"Monday, March 4, 2024"
Last test time,,"9:13:52 AM"
Course,,"ME330"
Lab Section Number,,"01"
Group,,"<None>"
Material,,"STEEL"
Heat Treatment,,"NM"
Other Information,,""
Crosshead Speed,(mm/min),"4.00"
Geometry,,"Circular"
Gage Diameter,(mm),"6.97"
Grip Diameter,(mm),"12.10"
Rockwell Hardness,,"23.0"
Rockwell Scale,,"HRB"
Extensometer Gage Length,(mm),"25.40"
Final Gage Diameter,(mm),"4.81"
Fracture Notes and Location,,""
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"71.06"
Maximum Strain,(%),"9.476"

Time,Displacement,Force,Strain 1
(s),(mm),(kN),(mm/mm)
"18.00","1.20","2.880","-0.002672"
"18.50","1.23","3.385","-0.002586"
"19.00","1.26","3.916","-0.002531"
"19.50","1.30","4.434","-0.002477"
"20.00","1.33","4.959","-0.002419"
"20.50","1.36","5.498","-0.002346"
"21.00","1.40","6.045","-0.002285"
"21.50","1.43","6.597","-0.002218"
"22.00","1.46","7.139","-0.002157"
"22.50","1.50","7.645","-0.002102"
"23.00","1.53","8.129","-0.002039"
"23.50","1.56","8.607","-0.001977"
"24.00","1.60","9.090","-0.001923"
"24.50","1.63","9.572","-0.001871"
"25.00","1.66","10.06","-0.001808"
"25.50","1.70","10.56","-0.001745"
"26.00","1.73","11.05","-0.001686"
"26.50","1.76","11.54","-0.001630"
"27.00","1.80","12.04","-0.001568"
"27.50","1.83","12.54","-0.001513"
"28.00","1.86","13.04","-0.001454"
"28.50","1.90","13.55","-0.001385"
"29.00","1.93","14.05","-0.001316"
"29.50","1.96","14.55","-0.001258"
"30.00","2.00","15.04","-0.001196"
"30.50","2.03","15.51","-0.001131"
"31.00","2.06","15.98","-0.001066"
"31.50","2.10","16.44","-0.0009960"
"32.00","2.13","16.88","-0.0009310"
"32.50","2.16","17.33","-0.0008518"
"33.00","2.20","17.77","-0.0007819"
"33.50","2.23","18.21","-0.0007028"
"34.00","2.26","18.66","-0.0006193"
"34.50","2.30","19.09","-0.0005355"
"35.00","2.33","19.53","-0.0004560"
"35.50","2.36","19.97","-0.0003692"
"36.00","2.40","20.40","-0.0002846"
"36.50","2.43","20.84","-0.0001935"
"37.00","2.46","21.27","-0.0001084"
"37.50","2.50","21.71","-0.00001874"
"38.00","2.53","22.14","0.00006998"
"38.50","2.56","22.58","0.0001644"
"39.00","2.60","23.02","0.0002546"
"39.50","2.63","23.46","0.0003473"
"40.00","2.66","23.90","0.0004458"
"40.50","2.70","24.34","0.0005420"
"41.00","2.73","24.78","0.0006411"
"41.50","2.76","25.23","0.0007417"
"42.00","2.80","25.67","0.0008416"
"42.50","2.83","26.12","0.0009430"
"43.00","2.86","26.57","0.001047"
"43.50","2.90","27.01","0.001151"
"44.00","2.93","27.46","0.001252"
"44.50","2.96","27.91","0.001361"
"45.00","3.00","28.36","0.001467"
"45.50","3.03","28.82","0.001576"
"46.00","3.06","29.27","0.001685"
"46.50","3.10","29.72","0.001798"
"47.00","3.13","30.17","0.001912"
"47.50","3.16","30.62","0.002024"
"48.00","3.20","31.08","0.002139"
"48.50","3.23","31.53","0.002256"
"49.00","3.26","31.98","0.002374"
"49.50","3.30","32.43","0.002498"
"50.00","3.33","32.89","0.002618"
"50.50","3.36","33.34","0.002740"
"51.00","3.40","33.79","0.002868"
"51.50","3.43","34.25","0.002992"
"52.00","3.46","34.70","0.003122"
"52.50","3.50","35.15","0.003253"
"53.00","3.53","35.60","0.003382"
"53.50","3.56","36.05","0.003521"
"54.00","3.60","36.51","0.003651"
"54.50","3.63","36.95","0.003784"
"55.00","3.66","37.40","0.003919"
"55.50","3.70","37.85","0.004063"
"56.00","3.73","38.30","0.004203"
"56.50","3.76","38.75","0.004352"
"57.00","3.80","39.20","0.004494"
"57.50","3.83","39.65","0.004641"
"58.00","3.86","40.10","0.004791"
"58.50","3.90","40.54","0.004946"
"59.00","3.93","40.98","0.005097"
"59.50","3.96","41.43","0.005254"
"60.00","4.00","41.87","0.005411"
"60.50","4.03","42.31","0.005572"
"61.00","4.06","42.75","0.005738"
"61.50","4.10","43.19","0.005900"
"62.00","4.13","43.62","0.006060"
"62.50","4.16","44.06","0.006235"
"63.00","4.20","44.49","0.006402"
"63.50","4.23","44.92","0.006577"
"64.00","4.26","45.35","0.006749"
"64.50","4.30","45.78","0.006926"
"65.00","4.33","46.21","0.007107"
"65.50","4.36","46.63","0.007286"
"66.00","4.40","47.06","0.007475"
"66.50","4.43","47.48","0.007666"
"67.00","4.46","47.90","0.007856"
"67.50","4.50","48.32","0.008051"
"68.00","4.53","48.74","0.008248"
"68.50","4.56","49.16","0.008450"
"69.00","4.60","49.57","0.008649"
"69.50","4.63","49.98","0.008861"
"70.00","4.66","50.39","0.009068"
"70.50","4.70","50.80","0.009278"
"71.00","4.73","51.21","0.009500"
"71.50","4.76","51.60","0.009714"
"72.00","4.80","52.01","0.009940"
"72.50","4.83","52.41","0.01017"
"73.00","4.86","52.80","0.01040"
"73.50","4.90","53.19","0.01063"
"74.00","4.93","53.58","0.01087"
"74.50","4.96","53.97","0.01111"
"75.00","5.00","54.36","0.01136"
"75.50","5.03","54.74","0.01161"
"76.00","5.06","55.12","0.01187"
"76.50","5.10","55.49","0.01212"
"77.00","5.13","55.87","0.01239"
"77.50","5.16","56.24","0.01266"
"78.00","5.20","56.60","0.01293"
"78.50","5.23","56.97","0.01321"
"79.00","5.26","57.33","0.01350"
"79.50","5.30","57.69","0.01379"
"80.00","5.33","58.04","0.01408"
"80.50","5.36","58.39","0.01438"
"81.00","5.40","58.74","0.01469"
"81.50","5.43","59.08","0.01501"
"82.00","5.46","59.42","0.01533"
"82.50","5.50","59.75","0.01565"
"83.00","5.53","60.08","0.01598"
"83.50","5.56","60.41","0.01631"
"84.00","5.60","60.73","0.01665"
"84.50","5.63","61.04","0.01701"
"85.00","5.66","61.35","0.01736"
"85.50","5.70","61.66","0.01772"
"86.00","5.73","61.96","0.01809"
"86.50","5.76","62.26","0.01846"
"87.00","5.80","62.55","0.01884"
"87.50","5.83","62.83","0.01923"
"88.00","5.86","63.12","0.01963"
"88.50","5.90","63.39","0.02003"
"89.00","5.93","63.67","0.02044"
"89.50","5.96","63.94","0.02086"
"90.00","6.00","64.19","0.02129"
"90.50","6.03","64.46","0.02173"
"91.00","6.06","64.71","0.02217"
"91.50","6.10","64.95","0.02263"
"92.00","6.13","65.20","0.02308"
"92.50","6.16","65.44","0.02355"
"93.00","6.20","65.67","0.02403"
"93.50","6.23","65.90","0.02452"
"94.00","6.26","66.12","0.02501"
"94.50","6.30","66.33","0.02551"
"95.00","6.33","66.55","0.02602"
"95.50","6.36","66.75","0.02655"
"96.00","6.40","66.94","0.02707"
"96.50","6.43","67.15","0.02761"
"97.00","6.46","67.34","0.02815"
"97.50","6.50","67.52","0.02872"
"98.00","6.53","67.70","0.02928"
"98.50","6.56","67.87","0.02986"
"99.00","6.60","68.04","0.03045"
"99.50","6.63","68.21","0.03104"
"100.00","6.66","68.36","0.03165"
"100.50","6.70","68.52","0.03226"
"101.00","6.73","68.67","0.03289"
"101.50","6.76","68.81","0.03353"
"102.00","6.80","68.95","0.03417"
"102.50","6.83","69.08","0.03483"
"103.00","6.86","69.21","0.03549"
"103.50","6.90","69.33","0.03617"
"104.00","6.93","69.46","0.03686"
"104.50","6.96","69.57","0.03756"
"105.00","7.00","69.68","0.03827"
"105.50","7.03","69.78","0.03899"
"106.00","7.06","69.88","0.03972"
"106.50","7.10","69.98","0.04046"
"107.00","7.13","70.07","0.04122"
"107.50","7.16","70.16","0.04198"
"108.00","7.20","70.25","0.04275"
"108.50","7.23","70.32","0.04354"
"109.00","7.26","70.40","0.04434"
"109.50","7.30","70.47","0.04515"
"110.00","7.33","70.53","0.04597"
"110.50","7.36","70.59","0.04679"
"111.00","7.40","70.66","0.04764"
"111.50","7.43","70.71","0.04850"
"112.00","7.46","70.76","0.04937"
"112.50","7.50","70.81","0.05025"
"113.00","7.53","70.85","0.05115"
"113.50","7.56","70.90","0.05207"
"114.00","7.60","70.93","0.05300"
"114.50","7.63","70.96","0.05394"
"115.00","7.66","70.99","0.05490"
"115.50","7.70","71.01","0.05588"
"116.00","7.73","71.03","0.05687"
"116.50","7.76","71.04","0.05788"
"117.00","7.80","71.05","0.05891"
"117.50","7.83","71.06","0.05996"
"118.00","7.86","71.05","0.06104"
"118.50","7.90","71.04","0.06213"
"119.00","7.93","71.02","0.06324"
"119.50","7.96","70.99","0.06439"
"120.00","8.00","70.95","0.06557"
"120.50","8.03","70.89","0.06678"
"121.00","8.06","70.82","0.06803"
"121.50","8.10","70.73","0.06929"
"122.00","8.13","70.64","0.07059"
"122.50","8.16","70.52","0.07192"
"123.00","8.20","70.40","0.07326"
"123.50","8.23","70.28","0.07462"
"124.00","8.26","70.14","0.07599"
"124.50","8.30","70.00","0.07737"


