System ID,,"4483C11306J"
Method name only,,"Tension_Round_Heat_Treat_NEW"
Test type,,"Tension"
Sample file name,,"M01C4340AN"
Last test date,,"Monday, March 4, 2024"
Last test time,,"9:29:58 AM"
Course,,"ME 330"
Lab Section Number,,"01"
Group,,"C"
Material,,"Steel 4340"
Heat Treatment,,"Annealed"
Other Information,,""
Crosshead Speed,(mm/min),"4.00"
Geometry,,"Circular"
Gage Diameter,(mm),"7.00"
Grip Diameter,(mm),"12.65"
Rockwell Hardness,,"97.8"
Rockwell Scale,,"HRB"
Extensometer Gage Length,(mm),"25.40"
Final Gage Diameter,(mm),"5.39"
Fracture Notes and Location,,""
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"35.81"
Maximum Strain,(%),"15.08"

Time,Displacement,Force,Strain 1
(s),(mm),(kN),(mm/mm)
"0.00","0.00","0.2400","-0.00001294"
"0.50","0.03","1.018","0.00007391"
"1.00","0.07","2.058","0.0001878"
"1.50","0.10","2.814","0.0002617"
"2.00","0.13","3.305","0.0003026"
"2.50","0.17","3.727","0.0003307"
"3.00","0.20","4.128","0.0003606"
"3.50","0.23","4.527","0.0003888"
"4.00","0.27","4.914","0.0004189"
"4.50","0.30","5.297","0.0004546"
"5.00","0.33","5.681","0.0004790"
"5.50","0.37","6.056","0.0005056"
"6.00","0.40","6.433","0.0005399"
"6.50","0.43","6.812","0.0005801"
"7.00","0.47","7.183","0.0006108"
"7.50","0.50","7.552","0.0006395"
"8.00","0.53","7.925","0.0006820"
"8.50","0.57","8.297","0.0007059"
"9.00","0.60","8.670","0.0007490"
"9.50","0.63","9.036","0.0007904"
"10.00","0.67","9.401","0.0008235"
"10.50","0.70","9.774","0.0008638"
"11.00","0.73","10.15","0.0009017"
"11.50","0.77","10.53","0.0009397"
"12.00","0.80","10.91","0.0009887"
"12.50","0.83","11.29","0.001024"
"13.00","0.87","11.67","0.001076"
"13.50","0.90","12.05","0.001116"
"14.00","0.93","12.43","0.001162"
"14.50","0.97","12.81","0.001200"
"15.00","1.00","13.18","0.001245"
"15.50","1.03","13.56","0.001292"
"16.00","1.07","13.94","0.001351"
"16.50","1.10","14.31","0.001401"
"17.00","1.13","14.67","0.001452"
"17.50","1.17","15.03","0.001444"
"18.00","1.20","15.40","0.001497"
"18.50","1.23","15.78","0.001556"
"19.00","1.27","16.15","0.001624"
"19.50","1.30","16.53","0.001676"
"20.00","1.33","16.90","0.001749"
"20.50","1.37","17.28","0.001817"
"21.00","1.40","17.66","0.001901"
"21.50","1.43","18.03","0.001985"
"22.00","1.47","18.40","0.002063"
"22.50","1.50","18.77","0.002145"
"23.00","1.53","19.15","0.002236"
"23.50","1.57","19.53","0.002336"
"24.00","1.60","19.90","0.002432"
"24.50","1.63","20.28","0.002538"
"25.00","1.67","20.65","0.002640"
"25.50","1.70","21.02","0.002748"
"26.00","1.73","21.39","0.002873"
"26.50","1.77","21.76","0.002993"
"27.00","1.80","22.13","0.003112"
