System ID,,"4483C11306J"
Method name only,,"Tension_Round_Heat_Treat_NEW"
Test type,,"Tension"
Sample file name,,"M01C4340OQ"
Last test date,,"Monday, March 4, 2024"
Last test time,,"9:40:32 AM"
Course,,"ME 330"
Lab Section Number,,"01"
Group,,"C"
Material,,"STEEL 4340"
Heat Treatment,,"Oil Quenched"
Other Information,,""
Crosshead Speed,(mm/min),"4.00"
Geometry,,"Circular"
Gage Diameter,(mm),"7.02"
Grip Diameter,(mm),"12.58"
Rockwell Hardness,,"44.0"
Rockwell Scale,,"HRC"
Extensometer Gage Length,(mm),"25.40"
Final Gage Diameter,(mm),"7.01"
Fracture Notes and Location,,""
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"73.97"
Maximum Strain,(%),"26.39"

Time,Displacement,Force,Strain 1
(s),(mm),(kN),(mm/mm)
"0.00","0.00","-0.001076","0.000007014"
"0.50","0.03","0.6860","0.00009084"
"1.00","0.07","1.654","0.0002237"
"1.50","0.10","2.681","0.0003547"
"2.00","0.13","3.489","0.0004560"
"2.50","0.17","4.037","0.0005208"
"3.00","0.20","4.549","0.0005928"
"3.50","0.23","5.050","0.0006514"
"4.00","0.27","5.549","0.0007083"
"4.50","0.30","6.037","0.0007663"
"5.00","0.33","6.502","0.0008162"
"5.50","0.37","6.967","0.0008816"
"6.00","0.40","7.434","0.0009512"
"6.50","0.43","7.902","0.001007"
"7.00","0.47","8.370","0.001063"
"7.50","0.50","8.837","0.001124"
"8.00","0.53","9.299","0.001184"
"8.50","0.57","9.769","0.001244"
"9.00","0.60","10.23","0.001300"
"9.50","0.63","10.70","0.001359"
"10.00","0.67","11.17","0.001422"
"10.50","0.70","11.65","0.001494"
"11.00","0.73","12.13","0.001547"
"11.50","0.77","12.60","0.001610"
"12.00","0.80","13.08","0.001675"
"12.50","0.83","13.56","0.001743"
"13.00","0.87","14.05","0.001807"
"13.50","0.90","14.53","0.001873"
"14.00","0.93","15.01","0.001936"
"14.50","0.97","15.51","0.002008"
"15.00","1.00","16.00","0.002077"
"15.50","1.03","16.49","0.002154"
"16.00","1.07","16.98","0.002223"
"16.50","1.10","17.47","0.002290"
"17.00","1.13","17.97","0.002363"
"17.50","1.17","18.47","0.002430"
"18.00","1.20","18.98","0.002514"
"18.50","1.23","19.49","0.002580"
"19.00","1.27","20.00","0.002659"
"19.50","1.30","20.50","0.002734"
"20.00","1.33","21.02","0.002820"
"20.50","1.37","21.53","0.002893"
"21.00","1.40","22.05","0.002967"
"21.50","1.43","22.56","0.003050"
"22.00","1.47","23.08","0.003136"
"22.50","1.50","23.59","0.003218"
"23.00","1.53","24.11","0.003289"
"23.50","1.57","24.63","0.003380"
"24.00","1.60","25.15","0.003462"
"24.50","1.63","25.67","0.003559"
"25.00","1.67","26.19","0.003653"
"25.50","1.70","26.72","0.003732"
"26.00","1.73","27.24","0.003821"
"26.50","1.77","27.77","0.003917"
"27.00","1.80","28.30","0.004014"
"27.50","1.83","28.82","0.004115"
"28.00","1.87","29.35","0.004205"
"28.50","1.90","29.89","0.004299"
"29.00","1.93","30.42","0.004404"
"29.50","1.97","30.95","0.004505"
"30.00","2.00","31.48","0.004600"
"30.50","2.03","32.01","0.004697"
"31.00","2.07","32.54","0.004806"
"31.50","2.10","33.08","0.004908"
"32.00","2.13","33.61","0.005017"
"32.50","2.17","34.14","0.005121"
"33.00","2.20","34.67","0.005219"
"33.50","2.23","35.20","0.005335"
"34.00","2.27","35.74","0.005442"
"34.50","2.30","36.27","0.005556"
"35.00","2.33","36.80","0.005660"
"35.50","2.37","37.33","0.005774"
"36.00","2.40","37.87","0.005887"
"36.50","2.43","38.40","0.005997"
"37.00","2.47","38.93","0.006120"
"37.50","2.50","39.46","0.006230"
"38.00","2.53","39.99","0.006348"
"38.50","2.57","40.52","0.006456"
"39.00","2.60","41.05","0.006583"
"39.50","2.63","41.58","0.006701"
"40.00","2.67","42.11","0.006828"
"40.50","2.70","42.64","0.006947"
"41.00","2.73","43.17","0.007069"
"41.50","2.77","43.70","0.007196"
"42.00","2.80","44.23","0.007320"
"42.50","2.83","44.76","0.007424"
"43.00","2.87","45.29","0.007565"
"43.50","2.90","45.82","0.007693"
"44.00","2.93","46.35","0.007825"
"44.50","2.97","46.87","0.007954"
"45.00","3.00","47.39","0.008100"
"45.50","3.03","47.92","0.008223"
"46.00","3.07","48.44","0.008368"
"46.50","3.10","48.96","0.008502"
"47.00","3.13","49.48","0.008635"
"47.50","3.17","50.00","0.008782"
"48.00","3.20","50.52","0.008921"
"48.50","3.23","51.05","0.009059"
"49.00","3.27","51.57","0.009200"
"49.50","3.30","52.08","0.009353"
"50.00","3.33","52.61","0.009492"
"50.50","3.37","53.12","0.009646"
"51.00","3.40","53.63","0.009795"
"51.50","3.43","54.14","0.009943"
"52.00","3.47","54.66","0.01010"
"52.50","3.50","55.17","0.01025"
"53.00","3.53","55.68","0.01041"
"53.50","3.57","56.19","0.01056"
"54.00","3.60","56.70","0.01073"
"54.50","3.63","57.21","0.01088"
"55.00","3.67","57.71","0.01105"
"55.50","3.70","58.21","0.01122"
"56.00","3.73","58.71","0.01137"
"56.50","3.77","59.21","0.01154"
"57.00","3.80","59.71","0.01172"
"57.50","3.83","60.20","0.01189"
"58.00","3.87","60.70","0.01206"
"58.50","3.90","61.19","0.01224"
"59.00","3.93","61.68","0.01242"
"59.50","3.97","62.17","0.01260"
"60.00","4.00","62.65","0.01279"
"60.50","4.03","63.14","0.01297"
"61.00","4.07","63.63","0.01317"
"61.50","4.10","64.10","0.01336"
"62.00","4.13","64.58","0.01355"
"62.50","4.17","65.06","0.01375"
"63.00","4.20","65.54","0.01395"
"63.50","4.23","66.01","0.01416"
"64.00","4.27","66.48","0.01436"
"64.50","4.30","66.94","0.01458"
"65.00","4.33","67.41","0.01478"
"65.50","4.37","67.88","0.01500"
"66.00","4.40","68.33","0.01524"
"66.50","4.43","68.79","0.01546"
"67.00","4.47","69.24","0.01569"
"67.50","4.50","69.69","0.01592"
"68.00","4.53","70.14","0.01616"
"68.50","4.57","70.57","0.01640"
"69.00","4.60","71.01","0.01665"
"69.50","4.63","71.44","0.01691"
"70.00","4.67","71.88","0.01717"
