System ID,,"4483C1713"
Method name only,,"Tension_Round_Heat_Treat_NEW"
Test type,,"Tension"
Sample file name,,"M01D4340T300C"
Last test date,,"Monday, March 4, 2024"
Last test time,,"9:50:43 AM"
Course,,"ME 330"
Lab Section Number,,"01"
Group,,"D"
Material,,"4340"
Heat Treatment,,"T300C"
Other Information,,""
Crosshead Speed,(mm/min),"4.00"
Geometry,,"Circular"
Gage Diameter,(mm),"6.95"
Grip Diameter,(mm),"12.50"
Rockwell Hardness,,"44.4"
Rockwell Scale,,"HRC"
Extensometer Gage Length,(mm),"25.40"
Final Gage Diameter,(mm),"4.20"
Fracture Notes and Location,,""
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"68.17"
Maximum Strain,(%),"13.18"

Time,Displacement,Force,Strain 1
(s),(mm),(kN),(mm/mm)
"0.00","0.00","0.1914","-0.00002112"
"0.50","0.03","0.8629","0.00002985"
"1.00","0.07","1.668","0.0001302"
"1.50","0.10","2.293","0.0002409"
"2.00","0.13","2.921","0.0003179"
"2.50","0.17","3.556","0.0003789"
"3.00","0.20","4.193","0.0004551"
"3.50","0.23","4.833","0.0005358"
"4.00","0.27","5.454","0.0006375"
"4.50","0.30","6.038","0.0007122"
"5.00","0.33","6.603","0.0007880"
"5.50","0.37","7.146","0.0008408"
"6.00","0.40","7.662","0.0009140"
"6.50","0.43","8.144","0.0009770"
"7.00","0.47","8.581","0.001032"
"7.50","0.50","9.000","0.001086"
"8.00","0.53","9.405","0.001143"
"8.50","0.57","9.804","0.001191"
"9.00","0.60","10.20","0.001242"
"9.50","0.63","10.60","0.001289"
"10.00","0.67","10.99","0.001343"
"10.50","0.70","11.38","0.001394"
"11.00","0.73","11.77","0.001449"
"11.50","0.77","12.16","0.001487"
"12.00","0.80","12.56","0.001533"
"12.50","0.83","12.95","0.001582"
"13.00","0.87","13.35","0.001636"
"13.50","0.90","13.75","0.001683"
"14.00","0.93","14.16","0.001747"
"14.50","0.97","14.57","0.001805"
"15.00","1.00","14.98","0.001856"
"15.50","1.03","15.40","0.001915"
"16.00","1.07","15.82","0.001961"
"16.50","1.10","16.24","0.002017"
"17.00","1.13","16.66","0.002074"
"17.50","1.17","17.09","0.002131"
"18.00","1.20","17.52","0.002175"
"18.50","1.23","17.96","0.002225"
"19.00","1.27","18.39","0.002289"
"19.50","1.30","18.82","0.002340"
"20.00","1.33","19.27","0.002397"
"20.50","1.37","19.71","0.002459"
"21.00","1.40","20.15","0.002519"
"21.50","1.43","20.60","0.002573"
"22.00","1.47","21.05","0.002628"
"22.50","1.50","21.50","0.002683"
"23.00","1.53","21.96","0.002740"
"23.50","1.57","22.41","0.002799"
"24.00","1.60","22.86","0.002858"
"24.50","1.63","23.32","0.002911"
"25.00","1.67","23.78","0.002972"
"25.50","1.70","24.25","0.003029"
"26.00","1.73","24.71","0.003079"
"26.50","1.77","25.18","0.003131"
"27.00","1.80","25.65","0.003197"
"27.50","1.83","26.12","0.003247"
"28.00","1.87","26.59","0.003322"
"28.50","1.90","27.07","0.003370"
"29.00","1.93","27.54","0.003428"
"29.50","1.97","28.02","0.003487"
"30.00","2.00","28.49","0.003551"
"30.50","2.03","28.98","0.003621"
"31.00","2.07","29.46","0.003678"
"31.50","2.10","29.94","0.003739"
"32.00","2.13","30.43","0.003801"
"32.50","2.17","30.91","0.003859"
"33.00","2.20","31.40","0.003922"
"33.50","2.23","31.89","0.003976"
"34.00","2.27","32.38","0.004041"
"34.50","2.30","32.88","0.004090"
"35.00","2.33","33.37","0.004157"
"35.50","2.37","33.86","0.004212"
"36.00","2.40","34.35","0.004284"
"36.50","2.43","34.85","0.004346"
"37.00","2.47","35.35","0.004414"
"37.50","2.50","35.85","0.004480"
"38.00","2.53","36.34","0.004542"
"38.50","2.57","36.84","0.004605"
"39.00","2.60","37.35","0.004673"
"39.50","2.63","37.84","0.004726"
"40.00","2.67","38.34","0.004793"
"40.50","2.70","38.85","0.004851"
"41.00","2.73","39.36","0.004916"
"41.50","2.77","39.86","0.004988"
"42.00","2.80","40.36","0.005052"
"42.50","2.83","40.87","0.005120"
"43.00","2.87","41.38","0.005180"
"43.50","2.90","41.89","0.005243"
"44.00","2.93","42.40","0.005308"
"44.50","2.97","42.91","0.005379"
"45.00","3.00","43.42","0.005446"
"45.50","3.03","43.93","0.005525"
"46.00","3.07","44.45","0.005586"
"46.50","3.10","44.96","0.005654"
"47.00","3.13","45.48","0.005726"
"47.50","3.17","45.99","0.005795"
"48.00","3.20","46.50","0.005862"
"48.50","3.23","47.02","0.005931"
"49.00","3.27","47.54","0.006016"
"49.50","3.30","48.06","0.006073"
"50.00","3.33","48.57","0.006149"
"50.50","3.37","49.09","0.006229"
"51.00","3.40","49.61","0.006298"
"51.50","3.43","50.12","0.006372"
"52.00","3.47","50.64","0.006454"
"52.50","3.50","51.15","0.006530"
"53.00","3.53","51.67","0.006622"
"53.50","3.57","52.18","0.006699"
"54.00","3.60","52.69","0.006795"
"54.50","3.63","53.20","0.006897"
"55.00","3.67","53.71","0.006988"
"55.50","3.70","54.22","0.007086"
"56.00","3.73","54.72","0.007205"
"56.50","3.77","55.21","0.007337"
"57.00","3.80","55.69","0.007475"
"57.50","3.83","56.16","0.007641"
"58.00","3.87","56.61","0.007843"
"58.50","3.90","57.04","0.008079"
"59.00","3.93","57.45","0.008360"
"59.50","3.97","57.83","0.008663"
"60.00","4.00","58.20","0.008975"
"60.50","4.03","58.57","0.009291"
"61.00","4.07","58.94","0.009600"
"61.50","4.10","59.32","0.009911"
"62.00","4.13","59.69","0.01021"
"62.50","4.17","60.05","0.01050"
"63.00","4.20","60.42","0.01080"
"63.50","4.23","60.78","0.01110"
"64.00","4.27","61.14","0.01141"
"64.50","4.30","61.49","0.01173"
"65.00","4.33","61.84","0.01205"
"65.50","4.37","62.19","0.01238"
"66.00","4.40","62.53","0.01272"
"66.50","4.43","62.86","0.01308"
"67.00","4.47","63.18","0.01345"
"67.50","4.50","63.49","0.01383"
"68.00","4.53","63.79","0.01422"
"68.50","4.57","64.09","0.01463"
"69.00","4.60","64.38","0.01504"
"69.50","4.63","64.65","0.01548"
"70.00","4.67","64.91","0.01593"
"70.50","4.70","65.17","0.01639"
"71.00","4.73","65.41","0.01689"
"71.50","4.77","65.64","0.01738"
"72.00","4.80","65.86","0.01790"
"72.50","4.83","66.07","0.01844"
"73.00","4.87","66.28","0.01899"
"73.50","4.90","66.46","0.01956"
"74.00","4.93","66.64","0.02016"
"74.50","4.97","66.81","0.02076"
"75.00","5.00","66.97","0.02139"
"75.50","5.03","67.11","0.02204"
"76.00","5.07","67.25","0.02271"
"76.50","5.10","67.38","0.02338"
"77.00","5.13","67.50","0.02410"
"77.50","5.17","67.61","0.02482"
"78.00","5.20","67.70","0.02556"
"78.50","5.23","67.79","0.02633"
"79.00","5.27","67.88","0.02710"
"79.50","5.30","67.95","0.02792"
"80.00","5.33","68.02","0.02876"
"80.50","5.37","68.06","0.02961"
"81.00","5.40","68.11","0.03051"
"81.50","5.43","68.14","0.03143"
