System ID,,"4483C1713"
Method name only,,"Tension_Round_Heat_Treat_NEW"
Test type,,"Tension"
Sample file name,,"M01D4340WQ"
Last test date,,"Monday, March 4, 2024"
Last test time,,"9:40:04 AM"
Course,,"ME 330"
Lab Section Number,,"01"
Group,,"D"
Material,,"4340"
Heat Treatment,,"WQ"
Other Information,,""
Crosshead Speed,(mm/min),"4.00"
Geometry,,"Circular"
Gage Diameter,(mm),"7.16"
Grip Diameter,(mm),"12.76"
Rockwell Hardness,,"45.1"
Rockwell Scale,,"HRC"
Extensometer Gage Length,(mm),"25.40"
Final Gage Diameter,(mm),"7.07"
Fracture Notes and Location,,""
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"35.60"
Maximum Strain,(%),"23.64"

Time,Displacement,Force,Strain 1
(s),(mm),(kN),(mm/mm)
"0.00","0.00","0.05363","-0.00003799"
"0.50","0.03","0.5270","-0.00001713"
"1.00","0.07","1.469","0.00002575"
"1.50","0.10","2.405","0.0001406"
"2.00","0.13","2.570","0.0001698"
"2.50","0.17","2.351","0.0001620"
"3.00","0.20","1.912","0.0001444"
"3.50","0.23","1.414","0.0001155"
"4.00","0.27","0.9258","0.00008115"
"4.50","0.30","0.5875","0.00005701"
"5.00","0.33","0.3390","0.00003429"
"5.50","0.37","0.1668","0.00001925"
"6.00","0.40","0.08928","0.00001495"
"6.50","0.43","0.04416","0.00001592"
"7.00","0.47","0.02981","0.00002210"
"7.50","0.50","0.3399","0.00003570"
"8.00","0.53","1.750","0.0002542"
"8.50","0.57","2.533","0.0003562"
"9.00","0.60","4.436","0.0006471"
"9.50","0.63","5.027","0.0007074"
"10.00","0.67","5.806","0.0007843"
"10.50","0.70","6.460","0.0008143"
"11.00","0.73","7.092","0.0009250"
"11.50","0.77","7.727","0.001050"
"12.00","0.80","8.056","0.001058"
"12.50","0.83","8.446","0.001082"
"13.00","0.87","8.769","0.001107"
"13.50","0.90","9.040","0.001134"
"14.00","0.93","9.276","0.001186"
"14.50","0.97","9.493","0.001207"
"15.00","1.00","9.714","0.001230"
"15.50","1.03","9.971","0.001267"
"16.00","1.07","10.26","0.001291"
"16.50","1.10","10.58","0.001331"
"17.00","1.13","10.91","0.001380"
"17.50","1.17","11.25","0.001419"
"18.00","1.20","11.62","0.001479"
"18.50","1.23","11.99","0.001503"
"19.00","1.27","12.36","0.001550"
"19.50","1.30","12.74","0.001598"
"20.00","1.33","13.13","0.001672"
"20.50","1.37","13.52","0.001719"
"21.00","1.40","13.91","0.001782"
"21.50","1.43","14.32","0.001826"
"22.00","1.47","14.72","0.001873"
"22.50","1.50","15.13","0.001932"
"23.00","1.53","15.54","0.001991"
"23.50","1.57","15.95","0.002022"
"24.00","1.60","16.37","0.002087"
"24.50","1.63","16.80","0.002155"
"25.00","1.67","17.22","0.002219"
"25.50","1.70","17.66","0.002264"
"26.00","1.73","18.09","0.002341"
"26.50","1.77","18.52","0.002383"
"27.00","1.80","18.96","0.002463"
"27.50","1.83","19.41","0.002523"
"28.00","1.87","19.85","0.002555"
"28.50","1.90","20.30","0.002612"
"29.00","1.93","20.75","0.002686"
"29.50","1.97","21.20","0.002752"
"30.00","2.00","21.66","0.002809"
"30.50","2.03","22.11","0.002853"
"31.00","2.07","22.58","0.002909"
"31.50","2.10","23.04","0.002970"
"32.00","2.13","23.50","0.003037"
"32.50","2.17","23.97","0.003130"
"33.00","2.20","24.44","0.003170"
"33.50","2.23","24.92","0.003262"
"34.00","2.27","25.39","0.003317"
"34.50","2.30","25.87","0.003392"
"35.00","2.33","26.34","0.003441"
"35.50","2.37","26.82","0.003523"
"36.00","2.40","27.29","0.003604"
"36.50","2.43","27.78","0.003673"
"37.00","2.47","28.26","0.003746"
"37.50","2.50","28.74","0.003798"
"38.00","2.53","29.22","0.003871"
"38.50","2.57","29.71","0.003957"
"39.00","2.60","30.20","0.004028"
"39.50","2.63","30.68","0.004097"
"40.00","2.67","31.17","0.004171"
"40.50","2.70","31.66","0.004251"
"41.00","2.73","32.15","0.004330"
"41.50","2.77","32.64","0.004399"
"42.00","2.80","33.12","0.004486"
"42.50","2.83","33.62","0.004569"
"43.00","2.87","34.11","0.004649"
"43.50","2.90","34.61","0.004735"
"44.00","2.93","35.10","0.004810"
"44.50","2.97","35.60","0.004888"
"45.00","3.00","0.002975","0.2364"
"45.50","3.03","0.007790","0.1040"
"46.00","3.07","0.01009","0.1108"
"46.50","3.10","0.01198","0.1346"
"47.00","3.13","0.01441","0.1324"
"47.50","3.17","0.01511","0.1311"
"47.86","3.19","0.01701","0.1290"

