System ID,,"4483C11306J"
Method name only,,"Tension_Round_Heat_Treat_NEW"
Test type,,"Tension"
Sample file name,,"MO1C4340T550C"
Last test date,,"Monday, March 4, 2024"
Last test time,,"9:50:45 AM"
Course,,"ME 330"
Lab Section Number,,"01"
Group,,"C"
Material,,"4340"
Heat Treatment,,"T550C"
Other Information,,""
Crosshead Speed,(mm/min),"4.00"
Geometry,,"Circular"
Gage Diameter,(mm),"7.04"
Grip Diameter,(mm),"12.20"
Rockwell Hardness,,"31.1"
Rockwell Scale,,"HRC"
Extensometer Gage Length,(mm),"25.40"
Final Gage Diameter,(mm),"4.50"
Fracture Notes and Location,,""
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"45.06"
Maximum Strain,(%),"40.62"

Time,Displacement,Force,Strain 1
(s),(mm),(kN),(mm/mm)
"0.00","0.00","-0.3314","0.000003703"
"0.50","0.03","-0.1356","0.00003934"
"1.00","0.07","-0.09007","0.00005553"
"1.50","0.10","-0.07854","0.00005235"
"2.00","0.13","-0.04537","0.00005768"
"2.50","0.17","0.03546","0.00007164"
"3.00","0.20","0.2431","0.0001027"
"3.50","0.23","0.6876","0.0001623"
"4.00","0.27","1.282","0.0002393"
"4.50","0.30","1.911","0.0003237"
"5.00","0.33","2.573","0.0004147"
"5.50","0.37","3.242","0.0005072"
"6.00","0.40","3.926","0.0006012"
"6.50","0.43","4.611","0.0006932"
"7.00","0.47","5.293","0.0007880"
"7.50","0.50","5.972","0.0008891"
"8.00","0.53","6.636","0.0009842"
"8.50","0.57","7.295","0.001078"
"9.00","0.60","7.946","0.001166"
"9.50","0.63","8.578","0.001258"
"10.00","0.67","9.194","0.001346"
"10.50","0.70","9.794","0.001430"
"11.00","0.73","10.39","0.001499"
"11.50","0.77","10.97","0.001570"
"12.00","0.80","11.56","0.001649"
"12.50","0.83","12.15","0.001722"
"13.00","0.87","12.73","0.001796"
"13.50","0.90","13.30","0.001865"
"14.00","0.93","13.86","0.001939"
"14.50","0.97","14.41","0.002012"
"15.00","1.00","14.96","0.002079"
"15.50","1.03","15.49","0.002151"
"16.00","1.07","15.99","0.002203"
"16.50","1.10","16.50","0.002276"
"17.00","1.13","17.00","0.002334"
"17.50","1.17","17.50","0.002399"
"18.00","1.20","18.00","0.002446"
"18.50","1.23","18.49","0.002510"
"19.00","1.27","18.81","0.002547"
"19.50","1.30","19.31","0.002601"
"20.00","1.33","19.82","0.002665"
"20.50","1.37","20.32","0.002724"
"21.00","1.40","20.83","0.002797"
"21.50","1.43","21.34","0.002860"
"22.00","1.47","21.85","0.002924"
"22.50","1.50","22.36","0.002990"
"23.00","1.53","22.87","0.003057"
"23.50","1.57","23.38","0.003127"
"24.00","1.60","23.88","0.003184"
"24.50","1.63","24.39","0.003249"
"25.00","1.67","24.91","0.003318"
"25.50","1.70","25.42","0.003385"
"26.00","1.73","25.94","0.003444"
"26.50","1.77","26.46","0.003510"
"27.00","1.80","26.98","0.003590"
"27.50","1.83","27.51","0.003645"
"28.00","1.87","28.03","0.003723"
"28.50","1.90","28.55","0.003789"
"29.00","1.93","29.08","0.003863"
"29.50","1.97","29.61","0.003928"
"30.00","2.00","30.14","0.003995"
"30.50","2.03","30.68","0.004074"
"31.00","2.07","31.21","0.004150"
"31.50","2.10","31.74","0.004215"
"32.00","2.13","32.28","0.004277"
"32.50","2.17","32.81","0.004355"
"33.00","2.20","33.36","0.004430"
"33.50","2.23","33.90","0.004504"
"34.00","2.27","34.44","0.004570"
"34.50","2.30","34.98","0.004640"
"35.00","2.33","35.52","0.004716"
"35.50","2.37","36.07","0.004797"
"36.00","2.40","36.61","0.004871"
"36.50","2.43","37.15","0.004948"
"37.00","2.47","37.69","0.005024"
"37.50","2.50","38.23","0.005117"
"38.00","2.53","38.77","0.005202"
"38.50","2.57","39.30","0.005298"
"39.00","2.60","39.83","0.005403"
"39.50","2.63","40.35","0.005521"
"40.00","2.67","40.85","0.005648"
"40.50","2.70","41.34","0.005791"
"41.00","2.73","41.81","0.005963"
"41.50","2.77","42.24","0.006169"
"42.00","2.80","42.53","0.006541"
"42.50","2.83","42.26","0.007698"
"43.00","2.87","42.32","0.008802"
"43.50","2.90","42.40","0.009883"
"44.00","2.93","42.49","0.01096"
"44.50","2.97","42.58","0.01204"
"45.00","3.00","42.66","0.01311"
"45.50","3.03","42.74","0.01414"
"46.00","3.07","42.81","0.01514"
"46.50","3.10","42.88","0.01611"
"47.00","3.13","42.95","0.01703"
"47.50","3.17","43.01","0.01794"
"48.00","3.20","43.08","0.01881"
"48.50","3.23","43.15","0.01965"
"49.00","3.27","43.22","0.02048"
"49.50","3.30","43.28","0.02131"
"50.00","3.33","43.35","0.02212"
"50.50","3.37","43.42","0.02294"
"51.00","3.40","43.48","0.02377"
"51.50","3.43","43.55","0.02458"
"52.00","3.47","43.61","0.02539"
"52.50","3.50","43.68","0.02622"
"53.00","3.53","43.74","0.02703"
"53.50","3.57","43.80","0.02784"
"54.00","3.60","43.86","0.02867"
"54.50","3.63","43.92","0.02949"
"55.00","3.67","43.98","0.03031"
"55.50","3.70","44.04","0.03113"
"56.00","3.73","44.10","0.03194"
"56.50","3.77","44.15","0.03277"
"57.00","3.80","44.21","0.03360"
"57.50","3.83","44.26","0.03443"
"58.00","3.87","44.31","0.03526"
"58.50","3.90","44.37","0.03610"
"59.00","3.93","44.42","0.03695"
"59.50","3.97","44.46","0.03779"
"60.00","4.00","44.51","0.03864"
"60.50","4.03","44.55","0.03950"
"61.00","4.07","44.60","0.04037"
"61.50","4.10","44.64","0.04124"
"62.00","4.13","44.68","0.04211"
"62.50","4.17","44.72","0.04300"
"63.00","4.20","44.75","0.04390"
"63.50","4.23","44.79","0.04480"
"64.00","4.27","44.82","0.04571"
"64.50","4.30","44.85","0.04664"
"65.00","4.33","44.88","0.04757"
"65.50","4.37","44.91","0.04849"
"66.00","4.40","44.93","0.04945"
"66.50","4.43","44.96","0.05041"
"67.00","4.47","44.98","0.05138"
"67.50","4.50","45.00","0.05238"
"68.00","4.53","45.01","0.05337"
"68.50","4.57","45.03","0.05439"
"69.00","4.60","45.04","0.05543"
"69.50","4.63","45.05","0.05647"
"70.00","4.67","45.05","0.05753"
"70.50","4.70","45.06","0.05861"
"71.00","4.73","45.06","0.05970"
"71.50","4.77","45.05","0.06081"
"72.00","4.80","45.04","0.06195"
"72.50","4.83","45.03","0.06311"
"73.00","4.87","45.02","0.06430"
"73.50","4.90","44.99","0.06549"
"74.00","4.93","44.96","0.06670"
"74.50","4.97","44.93","0.06794"
"75.00","5.00","44.88","0.06921"
"75.50","5.03","44.83","0.07049"
"76.00","5.07","44.77","0.07181"
"76.50","5.10","44.69","0.07313"
"77.00","5.13","44.62","0.07447"
"77.50","5.17","44.52","0.07583"
"78.00","5.20","44.42","0.07720"
"78.50","5.23","44.32","0.07859"
"79.00","5.27","44.21","0.07999"
"79.50","5.30","44.09","0.08137"
"80.00","5.33","43.96","0.08278"
"80.50","5.37","43.84","0.08418"
"81.00","5.40","43.70","0.08560"
"81.50","5.43","43.57","0.08703"
"82.00","5.47","43.43","0.08848"
"82.50","5.50","43.28","0.08991"
"83.00","5.53","43.15","0.09132"
"83.50","5.57","43.00","0.09275"
"84.00","5.60","42.85","0.09419"
"84.50","5.63","42.70","0.09562"
"85.00","5.67","42.55","0.09706"
"85.50","5.70","42.40","0.09850"
"86.00","5.73","42.24","0.09994"
"86.50","5.77","42.09","0.1014"
"87.00","5.80","41.93","0.1028"
"87.50","5.83","41.77","0.1043"
"88.00","5.87","41.61","0.1057"
"88.50","5.90","41.45","0.1072"
"89.00","5.93","41.29","0.1086"
"89.50","5.97","41.12","0.1101"
"90.00","6.00","40.96","0.1115"
"90.50","6.03","40.79","0.1130"
"91.00","6.07","40.62","0.1145"
"91.50","6.10","40.45","0.1159"
